id,name,phone,address,city,state,website,source_url,category,last_seen
1,BG MAX C12 - BGauss,,,Mumbai,Maharashtra,https://www.bgauss.com/b8-overview/,https://www.bgauss.com/b8-overview/,B.com,2026-06-07T14:39:13.287407+00:00
2,"SarkariResult.com.cm : Sarkari Result 2026 Official , Sarkari Result™",,,Mumbai,Maharashtra,https://www.sarkariexam.com/,https://www.sarkariexam.com/,B.com,2026-06-07T14:39:33.160674+00:00
3,Learn 100% Free Computer Courses with PDF Notes,,,Mumbai,Maharashtra,https://www.stpcomputereducation.com/,https://www.stpcomputereducation.com/,B.com,2026-06-07T14:39:37.390529+00:00
4,Innate Academy - Coaching Centre | Mumbai,+919867816205,,Mumbai,Maharashtra,https://innate-academy.ueniweb.com/,https://innate-academy.ueniweb.com/,Baf,2026-06-07T14:39:58.361209+00:00
5,"Classes for FYBAF, SYBAF & TYBAF - HSPT",+917208032477,,Mumbai,Maharashtra,https://www.hiteshsir.com/courses-management-courses-bachelor-in-accounting-and-finance/,https://www.hiteshsir.com/courses-management-courses-bachelor-in-accounting-and-finance/,Baf,2026-06-07T14:40:05.755255+00:00
13,"Commerce Coaching (FY, SY, TY - B.Com, BAF, BMS) - digiteducations.com",+918355881175,,Mumbai,Maharashtra,https://digiteducations.com/commerce-coaching-fy-sy-ty-b-com-baf-bms/,https://digiteducations.com/commerce-coaching-fy-sy-ty-b-com-baf-bms/,Baf,2026-06-07T14:40:14.253363+00:00
15,"Leading name for IPCC classes in andheri,CA classes in andheri,BAF classes in Mumbai,BMS classes in…",+919820883836,"Assets Commerce Tutorial, 50/9 Kiran, Near Laxminarayan Temple, J. B. Nagar, Andheri (E), Mumbai — 400 059",Mumbai,Maharashtra,https://medium.com/@assetstutorial/leading-name-for-ipcc-classes-in-andheri-ca-classes-in-andheri-baf-classes-in-mumbai-bms-classes-in-dd8c47e96b9b,https://medium.com/@assetstutorial/leading-name-for-ipcc-classes-in-andheri-ca-classes-in-andheri-baf-classes-in-mumbai-bms-classes-in-dd8c47e96b9b,Baf,2026-06-07T14:40:21.257994+00:00
17,Degree College » Nadkarni Classes » Commerce Classes,,,Mumbai,Maharashtra,https://www.nadkarniclasses.com/degree-college/,https://www.nadkarniclasses.com/degree-college/,Baf,2026-06-07T14:40:24.888543+00:00
18,"Friends Classes, Nerul – Coaching from 9th to M.Com",+919833391573,,Mumbai,Maharashtra,https://friendsclasses.com/,https://friendsclasses.com/,Baf,2026-06-07T14:40:27.823363+00:00
19,B.Com BMS BAF Coaching Navi Mumbai | Mumbai University | Ritu Academy Kharghar,+919512112938,,Mumbai,Maharashtra,https://riituinstitution.com/b-com-bms-baf-coaching/,https://riituinstitution.com/b-com-bms-baf-coaching/,Baf,2026-06-07T14:40:31.193105+00:00
21,"BCom, BAF & BMS Coaching Programs: Why Join Before 2026",,,Mumbai,Maharashtra,https://www.yuhaspro.com/blog/bcom-baf-bms-coaching-programs/,https://www.yuhaspro.com/blog/bcom-baf-bms-coaching-programs/,Baf,2026-06-07T14:40:33.613709+00:00
22,HOME | BAF Coaching,+919547070148,,Mumbai,Maharashtra,https://www.bafcoachingconsulting.com/,https://www.bafcoachingconsulting.com/,Baf,2026-06-07T14:41:04.337448+00:00
23,OM Classes Coaching Class in Mumbai,+919892995829,"7th Floor, G15/16 Commerce Centre, Tardeo Road, Opp. HPCL Petrol Pump , Tardeo, Mumbai, Maharashtra 400034",Mumbai,Maharashtra,https://studysid.com/baf-coaching-classes/om-classes-mumbai,https://studysid.com/baf-coaching-classes/om-classes-mumbai,Baf,2026-06-07T14:41:08.964958+00:00
24,Academic | Access Education Ins,,,Mumbai,Maharashtra,https://www.access-education.in/general-7,https://www.access-education.in/general-7,Baf,2026-06-07T14:41:13.589669+00:00
25,BBA & BMS Entrance Exam Prepartion | Mumbai | MCM Classes,+919820758742,,Mumbai,Maharashtra,https://www.mcmindia.org/bba,https://www.mcmindia.org/bba,Bba,2026-06-07T14:41:16.074536+00:00
28,B EduCARE - Premier Coaching Institute for Entrance Exams & Online Degree,,,Mumbai,Maharashtra,https://www.beducare.com/,https://www.beducare.com/,Bba,2026-06-07T14:41:18.669958+00:00
29,Best BBA Part Time & Correspondence Courses in Mumbai -,,,Mumbai,Maharashtra,https://www.aemsres.com/blog/bba-courses/best-bba-part-time-correspondence-courses-in-mumbai/,https://www.aemsres.com/blog/bba-courses/best-bba-part-time-correspondence-courses-in-mumbai/,Bba,2026-06-07T14:41:24.256480+00:00
30,"Online MBA and BBA from Mumbai, Maharashtra",+919049002620,,Mumbai,Maharashtra,http://dypatildistancemba.com/OnlineCertification/mumbai.html,http://dypatildistancemba.com/OnlineCertification/mumbai.html,Bba,2026-06-07T14:41:26.688132+00:00
31,"7 Best BBA Coaching in Borivali Mumbai | IPMAT, NPAT, SET Coaching – TutorJar",+917718822776,,Mumbai,Maharashtra,https://tutorjar.com/bba-coaching/,https://tutorjar.com/bba-coaching/,Bba,2026-06-07T14:41:30.267319+00:00
35,Xaviers Institute Provides Management Courses Working Professionals,+917738087179,,Mumbai,Maharashtra,https://www.xibms.com/,https://www.xibms.com/,Bba,2026-06-07T14:41:51.169492+00:00
37,MAH BBA CET Coaching in Mumbai,+9118002090191,,Mumbai,Maharashtra,https://studycampus.in/bba-coaching-classes-in-mumbai/,https://studycampus.in/bba-coaching-classes-in-mumbai/,Bba,2026-06-07T14:41:57.307133+00:00
44,"Best CAT, CLAT, IPMAT Coaching in Borivali, Mumbai | MBA, Law Entrance Exam Preperation Classes",+919819045263,"Address 1st Floor, Soni Shopping Center, Lokmanya Tilak Rd, above Krishna Jewellers, near Titan World, Sundar Nagar , Borivali West, Mumbai, Mumbai, Maharashtra 400092",Mumbai,Maharashtra,https://www.careerlauncher.com/borivali/,https://www.careerlauncher.com/borivali/,Bba,2026-06-07T14:41:59.933629+00:00
48,"BBA Entrance Coaching in Mumbai,Top Classes for BBA in Mumbai",+918452923835,,Mumbai,Maharashtra,https://studycampus.co.in/bba-coaching-institute-in-mumbai.html,https://studycampus.co.in/bba-coaching-institute-in-mumbai.html,Bba,2026-06-07T14:42:05.840011+00:00
54,"Best BBA Coaching Classes in Mumbai, Free Exam Practice Test",+919702209897,,Mumbai,Maharashtra,https://www.growthcentre.org/bba-coaching-classes/,https://www.growthcentre.org/bba-coaching-classes/,Bba,2026-06-07T14:42:09.586805+00:00
59,"TOP BBA coaching classes in Andheri Mumbai, Coaching for BBA in Andheri Mumbai",+919999265274,,Mumbai,Maharashtra,https://tarainstitute.in/bba-coaching-classes-in-andheri-mumbai/,https://tarainstitute.in/bba-coaching-classes-in-andheri-mumbai/,Bba,2026-06-07T14:42:11.714786+00:00
64,Best BBA Coaching Classes in Mumbai Where Success Begins - Tribe,,,Mumbai,Maharashtra,https://tribe.in/best-bba-coaching-classes-in-mumbai-where-success-begins/,https://tribe.in/best-bba-coaching-classes-in-mumbai-where-success-begins/,Bba,2026-06-07T14:42:17.934335+00:00
65,Commerce Coaching Classes in Mumbai | Best Classes for Commerce,+918591089800,"BORIVALI BRANCH B Wing, 1st Floor, Bhakti Apt, Opp. Jain Temple, Jambhali Galli, Near Moksh Plaza, Borivali West, Mumbai – 400092.",Mumbai,Maharashtra,https://cashirishvyas.com/commerce-classes/,https://cashirishvyas.com/commerce-classes/,Commerce,2026-06-07T14:42:21.794515+00:00
69,Mumbai Pradesh Arya Vidya Sabha's GCC,+919321784236,,Mumbai,Maharashtra,https://gurukulcollegeofcommerce.com/,https://gurukulcollegeofcommerce.com/,Commerce,2026-06-07T14:42:25.607288+00:00
76,Kashmira Commerce Classes | Tutoring in Mumbai,+917977426338,,Mumbai,Maharashtra,https://kashmira-commerce-classes.ueniweb.com/,https://kashmira-commerce-classes.ueniweb.com/,Commerce,2026-06-07T14:42:33.771299+00:00
77,Srichand Classes,+919820352975,,Mumbai,Maharashtra,https://www.srichandclasses.com/courses,https://www.srichandclasses.com/courses,Commerce,2026-06-07T14:42:36.035092+00:00
81,Commerce Coaching Classes in mumbai,+918307157158,,Mumbai,Maharashtra,https://www.klassroom.in/institution/mumbai/stream/Commerce,https://www.klassroom.in/institution/mumbai/stream/Commerce,Commerce,2026-06-07T14:42:39.166508+00:00
